mssv,namsinh,gioitinh,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8
0000AC05XPvAibaEXe9B2tolTZ0JLoBGbkQixQS6,1998,1,7.72,8.82,7.72,8.16,6.17,8.38,8.16,8.16
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,2001,0,8.58,9.65,9.65,8.58,8.58,8.58,8.58,8.15
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,1995,1,5.38,7.53,6.45,8.6,7.53,8.6,6.45,7.53
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,2000,1,8.48,8.48,8.48,8.48,7.42,7.42,8.48,7.42
000C4D39XPvAibaEXe8AohUVcWybLdGDVP9n1cLa,1998,1,9.03,9.03,7.9,7.45,9.03,9.03,7.9,8.13
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,2000,1,8.32,8.32,7.28,7.28,8.32,8.32,8.32,8.11
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,2000,1,7.47,8.54,6.41,8.54,8.54,7.47,8.33,8.54
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0,1995,1,3.17,5.29,4.23,1.06,3.81,5.29,4.87,3.81
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,1999,1,8.87,1.48,10.0,4.44,1.48,8.87,7.39,5.92
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,2001,1,8.47,9.53,7.41,7.41,8.47,8.47,9.53,8.89
002A69EBXPvAibaEXe93Rc7cR6VrXDeNmDpqGjUD,1998,1,8.64,8.64,8.64,8.64,7.56,8.42,7.77,8.42
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,2000,1,4.87,4.87,6.08,6.08,3.65,2.43,6.08,6.08
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,2000,1,7.84,6.54,5.23,5.23,3.92,2.61,3.14,4.45
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,1999,1,5.28,2.64,3.96,2.11,2.64,1.32,4.23,3.96
004F77B3XPvAibaEXe+hgaeObL7HTvumctv2YbLD,1998,1,7.01,7.01,8.01,7.81,7.41,8.01,7.61,8.01
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,1996,1,6.0,4.8,6.0,3.6,3.6,3.6,4.08,4.08
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,1999,1,8.93,8.93,8.93,8.93,6.7,8.93,7.81,5.58
005D6433XPvAibaEXe9JJ0DEqozv6JkD0BJUpbna,1998,1,8.4,6.3,8.4,7.35,8.4,8.4,8.4,8.4
0061CB34XPvAibaEXe+Vkl3c6kHD5JJsLl6yg+xd,1998,1,8.77,8.77,8.55,8.34,8.12,8.55,8.12,8.77
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,1999,1,7.71,5.14,3.85,5.14,2.57,3.85,5.4,3.85
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,1999,1,8.34,8.34,8.34,8.34,7.15,7.15,8.34,3.58
006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy,1996,1,6.44,7.52,7.52,7.52,7.52,8.59,8.59,7.52
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,1998,1,6.6,6.6,7.7,7.7,7.7,6.6,7.7,7.7
007B0A19XPvAibaEXe/UEORkxzaGRmODz65jligT,1999,1,7.72,7.72,7.72,7.72,6.61,6.61,7.72,7.72
