mssv,namsinh,gioitinh,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8
0000AC05XPvAibaEXe9B2tolTZ0JLoBGbkQixQS6,0,-1,7.79,8.28,7.56,7.71,7.19,7.85,8.2,7.93
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,2001,0,8.84,9.0,9.11,8.75,8.54,8.74,8.41,8.83
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,1995,1,5.41,7.07,6.36,8.32,7.86,8.09,6.92,7.8
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,2000,1,8.85,8.64,8.41,8.05,7.46,7.28,8.55,7.24
000C4D39XPvAibaEXe8AohUVcWybLdGDVP9n1cLa,0,-1,8.86,8.59,7.76,8.41,8.56,8.15,8.2,8.05
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,2000,1,8.31,8.14,7.01,7.87,8.04,8.89,8.53,8.81
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,2000,1,7.96,8.04,6.91,8.49,8.85,7.4,8.22,9.03
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0,1995,1,3.77,5.87,4.36,1.57,5.18,3.31,5.82,5.04
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,1999,1,6.58,1.9,7.16,3.33,1.1,6.27,5.22,4.93
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,2001,1,8.21,9.34,7.93,7.92,8.89,8.63,9.3,8.55
002A69EBXPvAibaEXe93Rc7cR6VrXDeNmDpqGjUD,0,-1,8.6,8.36,8.68,8.08,7.5,8.33,6.69,8.68
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,2000,1,4.99,4.42,5.26,5.63,3.63,2.54,5.01,5.05
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,2000,1,6.86,5.51,4.85,4.58,3.69,2.86,3.25,3.48
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,1999,1,4.16,2.7,3.53,0.92,2.96,1.21,3.7,0.86
004F77B3XPvAibaEXe+hgaeObL7HTvumctv2YbLD,0,-1,7.04,7.78,8.06,8.06,8.27,9.0,8.93,8.62
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,1996,1,5.15,4.26,5.7,3.32,3.89,3.9,2.83,2.7
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,1999,1,8.61,8.6,8.11,8.92,6.1,8.72,7.28,5.66
005D6433XPvAibaEXe9JJ0DEqozv6JkD0BJUpbna,1998,1,8.02,6.92,8.55,7.32,8.25,8.63,8.12,8.53
0061CB34XPvAibaEXe+Vkl3c6kHD5JJsLl6yg+xd,0,-1,7.93,8.36,8.63,8.01,8.33,8.67,8.45,8.7
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,1999,1,6.87,4.14,3.25,4.93,2.2,3.34,6.41,4.49
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,1999,1,7.33,7.44,7.29,7.35,6.19,6.88,7.19,3.6
006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy,1996,1,6.82,7.06,7.73,7.42,7.63,8.6,8.44,7.27
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,1998,1,6.35,6.59,7.15,7.29,7.22,6.98,7.74,7.77
007B0A19XPvAibaEXe/UEORkxzaGRmODz65jligT,1999,1,7.82,7.08,7.71,7.73,6.97,6.74,7.78,7.78
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,1995,1,6.73,6.52,7.35,6.3,8.07,8.16,6.99,7.19
0085722BXPvAibaEXe/baq/wvVlH/v1E0JmnRemC,1999,1,5.99,5.63,4.73,5.99,6.48,7.54,5.77,6.45
0088B819XPvAibaEXe+pRrseqS9RoYVQbm9WQphs,2001,1,9.11,8.46,7.44,7.94,8.44,8.12,7.87,8.47
008BC94CXPvAibaEXe9/w7qCPr4fx1vMkMDBbGR/,2001,1,4.08,0.28,2.33,2.23,3.51,1.74,4.21,5.15
008C7E44XPvAibaEXe80NXGyYVtTlnHRV1DTnuqi,1998,1,7.63,8.02,7.75,8.37,5.96,7.21,6.27,8.4
00951367XPvAibaEXe+JOtnwEvC97gx0NG0xwouT,2001,1,7.96,6.21,5.89,8.2,7.5,6.92,4.97,5.08
00A65C83XPvAibaEXe+BUGeEgVnB4GtsCU49A5+8,1996,1,7.22,5.29,6.67,5.96,7.72,7.34,6.25,6.04
00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ,2000,1,3.54,4.6,6.04,5.79,6.73,7.62,7.28,5.23
00ACC499XPvAibaEXe8ciyLBP/Qla4g3ka0I3o/F,1998,1,5.95,4.41,0.06,2.95,5.68,3.19,4.46,2.61
00ACD5A5XPvAibaEXe+pDN88/1DR4LBrQbT3YaE1,1996,1,6.18,5.46,5.67,4.86,5.85,6.71,3.78,5.05
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,1997,1,5.81,5.96,7.22,6.08,6.93,6.6,6.47,6.46
00BA75D9XPvAibaEXe86Rqk7wH1x9L5qZti6M7iN,0,-1,6.58,5.93,4.93,4.85,6.34,6.27,6.1,5.57
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,1995,1,5.86,1.28,5.53,6.24,5.87,6.94,7.01,7.53
00BEC077XPvAibaEXe9+dT4FRTt+Q2alofVR9t4x,1997,1,8.03,6.17,6.65,7.17,6.58,6.06,6.75,3.93
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,2000,1,7.23,6.92,5.62,6.99,4.35,7.34,7.62,7.91
00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J,1999,1,5.62,7.07,7.91,8.25,8.59,5.41,7.92,7.6
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,2001,1,5.49,4.3,2.29,6.45,3.62,5.27,3.03,4.42
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,1999,1,6.66,5.95,6.91,7.29,7.9,7.68,8.07,8.3
00D6DC46XPvAibaEXe9KRifo2bJPJD+Zu7F2mpg5,0,-1,9.34,8.51,8.39,8.41,8.45,8.66,8.67,8.26
00D77BF9XPvAibaEXe9DbnTSd1n0lpNsn3oiK7Z0,0,-1,8.12,8.37,8.29,8.19,8.18,8.33,8.79,8.5
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,1997,1,4.82,3.89,5.57,4.98,5.83,5.91,7.08,6.91
00E148C2XPvAibaEXe+YFpGAAgvteQTcTeueqms0,1998,1,4.12,3.56,7.25,5.86,2.4,3.79,4.02,4.23
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,1999,1,5.89,6.06,6.48,6.54,6.05,7.64,8.28,9.09
00E5ECAFXPvAibaEXe9/E7eUO1RQ8r0/wCUOA7B6,0,-1,8.34,8.27,7.95,7.8,8.19,7.36,7.63,8.33
00E6586DXPvAibaEXe+SXBrvSceI6ZBiVR5JBtyI,2001,1,7.16,7.1,6.64,6.95,6.56,7.2,7.49,5.67
00E902B0XPvAibaEXe9syTSxuDl8vm0fhXJrG91q,0,-1,8.12,7.71,6.67,7.3,6.33,6.39,6.47,4.28
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,2000,1,6.22,5.49,4.67,6.89,5.96,7.75,6.78,5.96
00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr,1997,1,3.53,3.56,6.06,4.22,2.85,6.29,4.44,4.6
00F31427XPvAibaEXe/nAyWBShz66zonv6PR2hvp,0,-1,6.74,7.11,6.6,5.61,6.34,6.6,6.48,6.74
00F54368XPvAibaEXe+Ya8MABQC4RC6OY7Db/+M5,0,-1,5.99,6.54,7.43,7.28,7.97,7.53,8.01,6.74
0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE,2000,0,9.14,9.22,9.35,9.2,8.53,9.12,9.52,9.4
01042283XPvAibaEXe/0Yd2X34glFPpzNb6Vd3mE,0,-1,7.35,8.2,8.68,7.87,8.1,8.4,8.5,9.11
010EBFE8XPvAibaEXe/fptT4PBq8NAZhCnWkwVzN,2000,1,9.02,8.73,9.22,8.92,8.67,7.8,9.27,9.08
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,1998,1,6.86,6.01,6.84,7.71,5.54,7.55,8.58,6.53
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,1995,1,5.73,4.24,7.14,6.48,7.3,6.8,6.54,6.86
0116EBB1XPvAibaEXe/kKctW1IjPXrvAfln7HF4O,0,-1,4.94,2.29,2.29,7.7,3.49,3.04,3.01,2.27
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,1999,1,7.32,7.79,6.59,5.07,8.44,6.94,7.63,5.74
01254D12XPvAibaEXe8yzZ/8QUtgdgO7k755LUHF,1995,1,6.23,6.18,5.04,6.4,5.94,4.89,6.33,7.29
